倉渕温泉	倉渕温泉	File:倉渕 相間川温泉「ふれあい館」 - panoramio.jpg	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=49994998
沢渡温泉	沢渡温泉	Nakanojo-Sta-Board	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=44863105
tanigawa-onsen	谷川温泉	養老渓谷温泉「川の家」P1010109漫画家のつげ義春が宿泊	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=3689592
tanigawa-onsen	谷川温泉	Yuya-Onsen-1	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=110935675
yunokoya	湯の小屋温泉	Spa Yamadaya, Otari, Nagano Prefecture	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=22854197
yunokoya	湯の小屋温泉	MyobanOnsenYunohanagoya	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=128879809
yunokoya	湯の小屋温泉	F-net Kumano detection point	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=79029920
takaragawa-onsen	宝川温泉	Hōenzan Zentsū-ji Temple 20210502 06	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=106052152
hoshi	法師温泉	Houshi Onsen Chojukan	by	flickr	https://www.flickr.com/photos/13132576@N00/6573705479
hoshi	法師温泉	Houshi Onsen Chojukan	by	flickr	https://www.flickr.com/photos/13132576@N00/6573703681
hoshi	法師温泉	Houshi Onsen Chojukan	by	flickr	https://www.flickr.com/photos/13132576@N00/6573703307
manza	万座温泉	Ushi-Ike	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=95483835
oigami	老神温泉	Oigami-Onsen Autumn	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=19247207
oigami	老神温泉	Gyoza no Manshu Tomeikan 01	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=89124399
oigami	老神温泉	Oigami Onsen Bikkuri Hinakazari, 2026 04	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=187528870
ときがわ温泉	ときがわ温泉	玉川温泉 埼玉県ときがわ町 (31018935284)	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=89214482
minano-onsen	皆野温泉	秩父温泉 満願の湯 埼玉県秩父郡皆野町 Oct 15, 2005	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=117840694
kuroyama-onsen	黒山温泉	溫泉	by-sa	flickr	https://www.flickr.com/photos/87807876@N00/24352326990
kuroyama-onsen	黒山温泉	Kurobe-Unazukionsen station west entrance	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=39065394
kuroyama-onsen	黒山温泉	晚餐 宴席料理	by-sa	flickr	https://www.flickr.com/photos/87807876@N00/25300219514
shibahara	柴原温泉	養老渓谷駅P1010094	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=4222666
神川温泉	神川温泉	Hakone yumoto onsen 2	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=58130210
神川温泉	神川温泉	Fujiki river - Yugawara onsen	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=53731207
otaki-chichibu	大滝温泉	File:Matsunoyama Onsen 20080302.jpg	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=66166429
otaki-chichibu	大滝温泉	20210501東大滝橋01	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=104958174
